District,Quarter,AvgPricePerPing,TransactionCount,QoQ_pct,YoY_pct
三民區,2025Q4,30.08,3,,
三民區,2026Q1,28.08,22,-6.65,
仁武區,2026Q1,29.81,13,,
前金區,2026Q1,39.59,5,,
前鎮區,2025Q4,31.71,2,,
前鎮區,2026Q1,25.15,10,-20.69,
大寮區,2025Q2,31.26,2,,
大寮區,2025Q3,33.34,3,6.65,
大寮區,2025Q4,30.83,1,-7.53,
大寮區,2026Q1,15.24,1,-50.57,
大寮區,2026Q2,6.61,1,-56.63,-78.85
大樹區,2026Q1,28.6,1,,
大社區,2026Q1,12.59,1,,
小港區,2026Q1,29.18,12,,
岡山區,2026Q1,35.56,1,,
左營區,2025Q3,34.17,1,,
左營區,2025Q4,33.02,1,-3.37,
左營區,2026Q1,24.73,13,-25.11,
新興區,2025Q4,37.66,2,,
新興區,2026Q1,27.09,10,-28.07,
旗山區,2026Q1,11.72,1,,
林園區,2025Q4,23.96,2,,
林園區,2026Q1,19.76,4,-17.53,
梓官區,2026Q1,25.09,5,,
楠梓區,2025Q4,31.38,1,,
楠梓區,2026Q1,26.94,29,-14.15,
橋頭區,2025Q4,30.17,1,,
橋頭區,2026Q1,29.73,1,-1.46,
湖內區,2026Q1,27.24,1,,
燕巢區,2026Q1,15.02,1,,
美濃區,2026Q1,6.83,1,,
苓雅區,2026Q1,32.89,12,,
茄萣區,2026Q1,29.41,1,,
路竹區,2025Q4,55.86,1,,
路竹區,2026Q1,27.64,1,-50.52,
鳥松區,2026Q1,27.03,3,,
鳳山區,2026Q1,27.06,26,,
鼓山區,2026Q1,33.9,9,,
