District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
三民區,四層,Low (1-5F),Elevator Building,1100.0,16.75,2026Q1,
三民區,七層,Mid (6-10F),Mansion,1245.0,46.24,2026Q1,
三民區,九層,Mid (6-10F),Mansion,1902.0,43.29,2026Q1,
三民區,七層,Mid (6-10F),Mansion,325.0,16.98,2026Q1,
三民區,四層,Low (1-5F),Mansion,175.0,17.92,2026Q1,
三民區,十層,Mid (6-10F),Mansion,1970.0,35.95,2026Q1,
三民區,八層,Mid (6-10F),Elevator Building,565.0,12.53,2026Q1,
三民區,三層,Low (1-5F),公寓(5樓含以下無電梯),450.0,15.71,2026Q1,
三民區,十五層,High (11-20F),Mansion,940.0,23.68,2026Q1,
三民區,九層,Mid (6-10F),Mansion,1810.0,43.58,2026Q1,
三民區,七層,Mid (6-10F),Mansion,1346.0,48.98,2026Q1,
三民區,八層,Mid (6-10F),Mansion,180.0,18.2,2026Q1,
三民區,六層,Mid (6-10F),Mansion,1050.0,21.28,2026Q1,
三民區,十一層,High (11-20F),Mansion,888.0,19.81,2026Q1,
三民區,十層,Mid (6-10F),Mansion,660.0,23.72,2026Q1,
三民區,六層,Mid (6-10F),Elevator Building,1300.0,36.62,2026Q1,
三民區,四層,Low (1-5F),Elevator Building,240.0,32.62,2026Q1,
三民區,八層,Mid (6-10F),Mansion,725.0,22.41,2026Q1,
三民區,二層,Low (1-5F),公寓(5樓含以下無電梯),688.0,24.29,2026Q1,
三民區,三層,Low (1-5F),Mansion,1193.0,37.44,2026Q1,
三民區,九層,Mid (6-10F),Mansion,1490.0,37.64,2026Q1,
三民區,六層,Mid (6-10F),Mansion,1040.0,22.15,2026Q1,
三民區,八層,Mid (6-10F),Mansion,1607.0,37.47,2025Q4,
三民區,二層,Low (1-5F),公寓(5樓含以下無電梯),500.0,20.39,2025Q4,
三民區,十六層,High (11-20F),Mansion,1590.0,32.38,2025Q4,
