District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
仁武區,一層，二層，騎樓,一層，二層，騎樓,公寓(5樓含以下無電梯),300.0,10.36,2026Q1,
仁武區,地下一層,Basement,Elevator Building,197.0,19.18,2026Q1,
仁武區,十二層,High (11-20F),Mansion,1450.0,33.03,2026Q1,
仁武區,十四層,High (11-20F),Mansion,950.0,28.05,2026Q1,
仁武區,十四層,High (11-20F),Mansion,1685.0,31.71,2026Q1,
仁武區,十一層,High (11-20F),Mansion,1360.0,24.61,2026Q1,
仁武區,七層,Mid (6-10F),Mansion,1348.0,27.68,2026Q1,
仁武區,全,Unknown,Townhouse,3800.0,48.16,2026Q1,
仁武區,全,Unknown,Townhouse,2668.0,36.54,2026Q1,
仁武區,全,Unknown,Townhouse,3568.0,36.84,2026Q1,
仁武區,七層,Mid (6-10F),Mansion,930.0,31.69,2026Q1,
仁武區,七層,Mid (6-10F),Mansion,1460.0,30.36,2026Q1,
仁武區,四層,Low (1-5F),Mansion,1330.0,29.27,2026Q1,
