District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
前鎮區,五層,Low (1-5F),公寓(5樓含以下無電梯),370.0,10.65,2026Q1,
前鎮區,五層,Low (1-5F),公寓(5樓含以下無電梯),240.0,10.12,2026Q1,
前鎮區,十二層,High (11-20F),Mansion,2450.0,19.71,2026Q1,
前鎮區,十九層,High (11-20F),Mansion,1360.0,49.41,2026Q1,
前鎮區,七層,Mid (6-10F),Mansion,1250.0,19.18,2026Q1,
前鎮區,九層,Mid (6-10F),Mansion,1136.0,18.54,2026Q1,
前鎮區,三十七層,三十七層,Mansion,290.0,23.79,2026Q1,
前鎮區,十層,Mid (6-10F),Mansion,2600.0,30.56,2026Q1,
前鎮區,一層，二層，騎樓,一層，二層，騎樓,公寓(5樓含以下無電梯),1488.0,33.67,2026Q1,
前鎮區,二層,Low (1-5F),Mansion,1263.0,35.91,2026Q1,
前鎮區,全,Unknown,Townhouse,508.0,24.45,2025Q4,
前鎮區,八層,Mid (6-10F),Mansion,1490.0,38.98,2025Q4,
