District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
左營區,四層,Low (1-5F),公寓(5樓含以下無電梯),450.0,10.92,2026Q1,
左營區,十六層,High (11-20F),Mansion,1200.0,26.05,2026Q1,
左營區,四層,Low (1-5F),Mansion,650.0,30.86,2026Q1,
左營區,七層,Mid (6-10F),Mansion,825.0,17.64,2026Q1,
左營區,一層,Low (1-5F),Elevator Building,650.0,19.12,2026Q1,
左營區,六層,Mid (6-10F),Mansion,780.0,22.88,2026Q1,
左營區,三層,Low (1-5F),Mansion,850.0,24.08,2026Q1,
左營區,六層,Mid (6-10F),Mansion,390.0,31.33,2026Q1,
左營區,十四層,High (11-20F),Mansion,1500.0,34.9,2026Q1,
左營區,十三層,High (11-20F),Mansion,917.0,26.07,2026Q1,
左營區,六層,Mid (6-10F),Mansion,1021.0,25.77,2026Q1,
左營區,五層,Low (1-5F),Mansion,600.0,17.09,2026Q1,
左營區,十一層,High (11-20F),Mansion,880.0,34.81,2026Q1,
左營區,九層,Mid (6-10F),Mansion,1073.0,33.02,2025Q4,
左營區,十五層,High (11-20F),Mansion,908.0,34.17,2025Q3,
