District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
楠梓區,五層,Low (1-5F),Mansion,1610.0,36.71,2026Q1,
楠梓區,三層,Low (1-5F),公寓(5樓含以下無電梯),360.0,14.99,2026Q1,
楠梓區,七層,Mid (6-10F),Mansion,720.0,27.06,2026Q1,
楠梓區,五層,Low (1-5F),Mansion,1058.0,25.28,2026Q1,
楠梓區,五層,Low (1-5F),Mansion,766.0,33.33,2026Q1,
楠梓區,一層,Low (1-5F),Mansion,946.0,28.41,2026Q1,
楠梓區,十四層,High (11-20F),Mansion,1820.0,37.13,2026Q1,
楠梓區,四層,Low (1-5F),公寓(5樓含以下無電梯),468.0,19.48,2026Q1,
楠梓區,五層,Low (1-5F),公寓(5樓含以下無電梯),398.0,14.94,2026Q1,
楠梓區,三層,Low (1-5F),Mansion,1586.0,35.68,2026Q1,
楠梓區,一層，夾層,一層，夾層,Mansion,360.0,26.52,2026Q1,
楠梓區,全,Unknown,Townhouse,3300.0,33.08,2026Q1,
楠梓區,十層,Mid (6-10F),Mansion,1160.0,29.46,2026Q1,
楠梓區,九層,Mid (6-10F),Mansion,720.0,25.94,2026Q1,
楠梓區,五層,Low (1-5F),Elevator Building,920.0,34.41,2026Q1,
楠梓區,三層,Low (1-5F),公寓(5樓含以下無電梯),330.0,16.94,2026Q1,
楠梓區,七層,Mid (6-10F),Mansion,1740.0,37.04,2026Q1,
楠梓區,四層,Low (1-5F),Mansion,653.0,26.9,2026Q1,
楠梓區,五層,Low (1-5F),Elevator Building,1280.0,37.12,2026Q1,
楠梓區,八層,Mid (6-10F),Mansion,790.0,28.86,2026Q1,
楠梓區,六層,Mid (6-10F),Elevator Building,578.0,17.46,2026Q1,
楠梓區,三層,Low (1-5F),Elevator Building,816.0,17.91,2026Q1,
楠梓區,十六層,High (11-20F),Mansion,2076.0,39.6,2026Q1,
楠梓區,全,Unknown,Townhouse,2200.0,30.99,2026Q1,
楠梓區,七層,Mid (6-10F),Elevator Building,780.0,18.37,2026Q1,
楠梓區,四層,Low (1-5F),公寓(5樓含以下無電梯),450.0,12.89,2026Q1,
楠梓區,五層,Low (1-5F),Mansion,660.0,29.27,2026Q1,
楠梓區,六層,Mid (6-10F),Mansion,1128.0,30.01,2026Q1,
楠梓區,十九層,High (11-20F),Mansion,520.0,15.44,2026Q1,
楠梓區,四層,Low (1-5F),Mansion,1429.0,31.38,2025Q4,
