District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
鳳山區,七層,Mid (6-10F),Mansion,1180.0,20.76,2026Q1,
鳳山區,三層,Low (1-5F),Mansion,950.0,29.24,2026Q1,
鳳山區,四層,Low (1-5F),公寓(5樓含以下無電梯),284.0,10.0,2026Q1,
鳳山區,全,Unknown,Townhouse,1560.0,59.92,2026Q1,
鳳山區,五層,Low (1-5F),Mansion,1447.0,31.8,2026Q1,
鳳山區,六層,Mid (6-10F),Mansion,1485.0,32.86,2026Q1,
鳳山區,十七層,High (11-20F),Mansion,2090.0,35.97,2026Q1,
鳳山區,十四層,High (11-20F),Mansion,1250.0,33.78,2026Q1,
鳳山區,六層,Mid (6-10F),Mansion,1180.0,26.17,2026Q1,
鳳山區,五層,Low (1-5F),Mansion,1060.0,28.87,2026Q1,
鳳山區,二層,Low (1-5F),公寓(5樓含以下無電梯),548.0,24.64,2026Q1,
鳳山區,三層,Low (1-5F),Mansion,1255.0,29.63,2026Q1,
鳳山區,一層,Low (1-5F),公寓(5樓含以下無電梯),568.0,31.88,2026Q1,
鳳山區,二層,Low (1-5F),Mansion,875.0,15.3,2026Q1,
鳳山區,三層,Low (1-5F),Elevator Building,682.0,18.09,2026Q1,
鳳山區,十二層,High (11-20F),Mansion,710.0,27.49,2026Q1,
鳳山區,六層,Mid (6-10F),Elevator Building,1088.9,19.7,2026Q1,
鳳山區,二十二層,Super High (21F+),Mansion,2410.0,37.43,2026Q1,
鳳山區,六層,Mid (6-10F),Mansion,1976.0,33.55,2026Q1,
鳳山區,十四層,High (11-20F),Mansion,990.0,25.16,2026Q1,
鳳山區,三層,Low (1-5F),Mansion,1300.0,25.38,2026Q1,
鳳山區,四層,Low (1-5F),公寓(5樓含以下無電梯),330.0,12.68,2026Q1,
鳳山區,六層,Mid (6-10F),Mansion,840.0,27.69,2026Q1,
鳳山區,十一層,High (11-20F),Mansion,1368.0,31.16,2026Q1,
鳳山區,二層,Low (1-5F),Elevator Building,328.0,15.25,2026Q1,
鳳山區,八層,Mid (6-10F),Mansion,675.0,19.09,2026Q1,
