District,Quarter,MedianPricePerPing,TransactionCount,QoQ_pct,YoY_pct
三峽區,2026Q1,39.33,5,,
三芝區,2026Q1,14.51,3,,
三重區,2025Q4,56.26,4,,
三重區,2026Q1,51.97,14,-7.63,
中和區,2025Q3,41.12,1,,
中和區,2025Q4,53.72,2,,
中和區,2026Q1,65.03,13,21.05,
五股區,2026Q1,45.75,5,,
八里區,2026Q1,26.84,2,,
土城區,2025Q4,40.36,1,,
土城區,2026Q1,55.08,14,36.47,
新店區,2025Q4,67.81,2,,
新店區,2026Q1,42.4,10,-37.47,
新莊區,2021Q4,46.05,1,,
新莊區,2022Q1,44.06,2,,
新莊區,2023Q1,43.32,1,,
新莊區,2025Q4,66.36,2,,
新莊區,2026Q1,56.16,22,-15.37,21.95
板橋區,2025Q4,66.82,2,,
板橋區,2026Q1,66.97,19,0.22,
林口區,2025Q3,44.19,1,,
林口區,2025Q4,53.42,2,,
林口區,2026Q1,56.91,6,6.53,
樹林區,2026Q1,32.56,3,,
永和區,2025Q4,70.94,1,,
永和區,2026Q1,51.21,3,,
汐止區,2025Q3,63.43,1,,
汐止區,2026Q1,35.64,15,-43.81,
泰山區,2024Q3,37.15,1,,
泰山區,2026Q1,41.77,3,,
淡水區,2025Q1,38.54,1,,
淡水區,2025Q4,33.34,2,,
淡水區,2026Q1,30.48,17,-8.58,
深坑區,2026Q1,29.1,1,,
瑞芳區,2026Q1,9.36,1,,
萬里區,2026Q1,12.47,2,,
蘆洲區,2025Q4,48.84,1,,
蘆洲區,2026Q1,47.0,3,,
金山區,2026Q1,14.19,1,,
鶯歌區,2026Q1,32.86,2,,
