District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
三重區,三層，陽台,三層，陽台,公寓(5樓含以下無電梯),770.0,41.73,2026Q1,
三重區,二層,Low (1-5F),公寓(5樓含以下無電梯),1370.0,35.97,2026Q1,
三重區,三層，陽台,三層，陽台,公寓(5樓含以下無電梯),1400.0,56.44,2026Q1,
三重區,一層，平台,一層，平台,公寓(5樓含以下無電梯),800.0,38.89,2026Q1,
三重區,六層,Mid (6-10F),Mansion,1600.0,65.25,2026Q1,
三重區,十七層,High (11-20F),Mansion,1660.0,50.05,2026Q1,
三重區,四層,Low (1-5F),Mansion,3010.0,68.0,2026Q1,
三重區,十九層,High (11-20F),Mansion,2080.0,80.23,2026Q1,
三重區,一層，二層,一層，二層,Mansion,4300.0,53.89,2026Q1,
三重區,三層，陽台,三層，陽台,公寓(5樓含以下無電梯),1615.0,48.54,2026Q1,
三重區,二層,Low (1-5F),公寓(5樓含以下無電梯),800.0,30.4,2026Q1,
三重區,二層,Low (1-5F),公寓(5樓含以下無電梯),800.0,30.75,2026Q1,
三重區,九層,Mid (6-10F),Mansion,1860.0,62.1,2026Q1,
三重區,四層,Low (1-5F),Mansion,1968.0,87.71,2026Q1,
三重區,十二層,High (11-20F),Mansion,2080.0,74.0,2026Q1,
三重區,七層,Mid (6-10F),Mansion,600.0,46.08,2026Q1,
三重區,二層,Low (1-5F),Elevator Building,1950.0,49.14,2025Q4,
三重區,八層,Mid (6-10F),Mansion,1805.0,41.42,2025Q4,
三重區,十層,Mid (6-10F),Mansion,3590.0,74.69,2025Q4,
三重區,全,Unknown,Townhouse,2000.0,47.46,2025Q4,
三重區,七層,Mid (6-10F),Mansion,2880.0,72.48,2025Q4,
三重區,八層,Mid (6-10F),Mansion,2350.0,63.38,2025Q4,
