District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
中和區,七層,Mid (6-10F),Mansion,2388.0,78.19,2026Q1,
中和區,九層,Mid (6-10F),Mansion,1100.0,65.03,2026Q1,
中和區,十二層,High (11-20F),Mansion,1600.0,72.06,2026Q1,
中和區,七層,Mid (6-10F),Elevator Building,1430.0,47.95,2026Q1,
中和區,十二層,High (11-20F),Mansion,660.0,48.77,2026Q1,
中和區,十層,Mid (6-10F),Mansion,2300.0,78.32,2026Q1,
中和區,七層,Mid (6-10F),Mansion,1400.0,60.59,2026Q1,
中和區,七層,Mid (6-10F),Mansion,2160.0,76.22,2026Q1,
中和區,十七層,High (11-20F),Mansion,2888.0,87.65,2026Q1,
中和區,九層,Mid (6-10F),Mansion,910.0,56.23,2026Q1,
中和區,十層,Mid (6-10F),Mansion,1980.0,41.83,2026Q1,
中和區,六層,Mid (6-10F),Mansion,1450.0,65.12,2026Q1,
中和區,四層,Low (1-5F),公寓(5樓含以下無電梯),1300.0,45.74,2026Q1,
中和區,十五層,High (11-20F),Mansion,1880.0,75.63,2026Q1,
中和區,五層,Low (1-5F),Mansion,1358.0,54.09,2026Q1,
中和區,十三層,High (11-20F),Mansion,1790.0,65.56,2025Q4,
中和區,四層,Low (1-5F),公寓(5樓含以下無電梯),380.0,41.87,2025Q4,
中和區,十層,Mid (6-10F),Mansion,5000.0,77.18,2025Q4,
中和區,五層,Low (1-5F),Elevator Building,7700.0,28.11,2025Q4,
中和區,五層，陽台,五層，陽台,公寓(5樓含以下無電梯),1700.0,41.12,2025Q3,
