District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
土城區,一層,Low (1-5F),Elevator Building,1280.0,40.87,2026Q1,
土城區,六層,Mid (6-10F),Mansion,2938.0,68.13,2026Q1,
土城區,三層,Low (1-5F),Mansion,1560.0,57.0,2026Q1,
土城區,二層,Low (1-5F),Mansion,4000.0,40.09,2026Q1,
土城區,十六層,High (11-20F),Mansion,1650.0,36.65,2026Q1,
土城區,三層,Low (1-5F),Mansion,1360.0,40.57,2026Q1,
土城區,八層,Mid (6-10F),Mansion,1865.0,56.92,2026Q1,
土城區,三層,Low (1-5F),Mansion,2250.0,63.52,2026Q1,
土城區,二層,Low (1-5F),公寓(5樓含以下無電梯),1000.0,36.82,2026Q1,
土城區,二十一層,Super High (21F+),Mansion,1565.0,56.52,2026Q1,
土城區,十二層,High (11-20F),Mansion,1700.0,55.46,2026Q1,
土城區,十八層,High (11-20F),Mansion,3820.0,63.4,2026Q1,
土城區,七層,Mid (6-10F),Mansion,3500.0,54.7,2026Q1,
土城區,十三層,High (11-20F),Mansion,760.0,47.02,2026Q1,
土城區,十層,Mid (6-10F),Mansion,2735.0,58.46,2026Q1,
土城區,十三層,High (11-20F),Mansion,1480.0,47.76,2026Q1,
土城區,五層,Low (1-5F),Mansion,1652.0,40.36,2025Q4,
