District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
新店區,全,Unknown,Townhouse,1200.0,34.87,2026Q1,
新店區,地下一層,Basement,公寓(5樓含以下無電梯),520.0,18.89,2026Q1,
新店區,十二層,High (11-20F),Mansion,900.0,36.58,2026Q1,
新店區,三層,Low (1-5F),公寓(5樓含以下無電梯),810.0,41.98,2026Q1,
新店區,四層,Low (1-5F),Mansion,2840.0,74.09,2026Q1,
新店區,五層,Low (1-5F),Mansion,5350.0,95.97,2026Q1,
新店區,三層,Low (1-5F),公寓(5樓含以下無電梯),760.0,42.81,2026Q1,
新店區,二層,Low (1-5F),Elevator Building,1470.0,26.79,2026Q1,
新店區,二層,Low (1-5F),Mansion,2368.0,93.59,2026Q1,
新店區,十二層,High (11-20F),Mansion,1230.0,45.73,2026Q1,
新店區,七層,Mid (6-10F),Mansion,900.0,16.21,2026Q1,
新店區,二層,Low (1-5F),公寓(5樓含以下無電梯),1310.0,43.93,2026Q1,
新店區,九層,Mid (6-10F),Mansion,3500.0,84.03,2025Q4,
新店區,七層,Mid (6-10F),Mansion,1365.0,51.59,2025Q4,
