District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
新莊區,地下一層,Basement,Mansion,40.0,4.71,2026Q1,
新莊區,十層,Mid (6-10F),Mansion,2430.0,51.04,2026Q1,
新莊區,一層，平台,一層，平台,公寓(5樓含以下無電梯),1000.0,58.25,2026Q1,
新莊區,十層,Mid (6-10F),Mansion,2236.0,76.06,2026Q1,
新莊區,地下一層,Basement,Mansion,50.0,5.66,2026Q1,
新莊區,八層,Mid (6-10F),Mansion,4088.0,51.71,2026Q1,
新莊區,三層,Low (1-5F),公寓(5樓含以下無電梯),650.0,38.2,2026Q1,
新莊區,五層,Low (1-5F),公寓(5樓含以下無電梯),850.0,26.37,2026Q1,
新莊區,十三層,High (11-20F),Mansion,2098.0,70.06,2026Q1,
新莊區,五層,Low (1-5F),Elevator Building,1565.0,37.96,2026Q1,
新莊區,二層，陽台,二層，陽台,公寓(5樓含以下無電梯),450.0,33.06,2026Q1,
新莊區,十六層,High (11-20F),Mansion,1750.0,47.7,2026Q1,
新莊區,七層,Mid (6-10F),Mansion,1940.0,54.08,2026Q1,
新莊區,十四層,High (11-20F),Mansion,1470.0,45.29,2026Q1,
新莊區,十層,Mid (6-10F),Mansion,2462.0,64.58,2026Q1,
新莊區,十三層,High (11-20F),Mansion,1364.0,65.46,2026Q1,
新莊區,二十層,High (11-20F),Mansion,1679.0,69.05,2026Q1,
新莊區,十四層,High (11-20F),Mansion,3300.0,64.2,2026Q1,
新莊區,五層,Low (1-5F),Mansion,5688.0,59.26,2026Q1,
新莊區,七層,Mid (6-10F),Mansion,710.0,54.01,2026Q1,
新莊區,七層,Mid (6-10F),Mansion,1110.0,43.78,2026Q1,
新莊區,十層,Mid (6-10F),Mansion,1580.0,68.28,2026Q1,
新莊區,十一層,High (11-20F),Mansion,1575.0,60.5,2026Q1,
新莊區,一層，二層,一層，二層,Mansion,4576.0,68.79,2026Q1,
新莊區,十三層,High (11-20F),Mansion,1643.0,65.5,2026Q1,
新莊區,五層,Low (1-5F),Mansion,3350.0,65.58,2026Q1,
新莊區,三層,Low (1-5F),Mansion,2024.0,64.51,2025Q4,
新莊區,十四層,High (11-20F),Mansion,1447.0,68.45,2025Q4,
新莊區,十四層,High (11-20F),Mansion,1646.0,68.21,2025Q4,
新莊區,五層，陽台,五層，陽台,公寓(5樓含以下無電梯),1300.0,41.27,2025Q4,
新莊區,四層,Low (1-5F),Mansion,1665.0,43.32,2023Q1,
新莊區,五層,Low (1-5F),Mansion,1672.0,43.8,2022Q1,
新莊區,六層,Mid (6-10F),Mansion,1690.0,44.32,2022Q1,
新莊區,十層,Mid (6-10F),Mansion,1760.0,46.05,2021Q4,
