District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
板橋區,四層,Low (1-5F),Elevator Building,1250.0,56.51,2026Q1,
板橋區,十二層,High (11-20F),Mansion,1720.0,76.26,2026Q1,
板橋區,四層,Low (1-5F),公寓(5樓含以下無電梯),980.0,36.88,2026Q1,
板橋區,八層,Mid (6-10F),Mansion,2520.0,73.17,2026Q1,
板橋區,八層,Mid (6-10F),Mansion,1750.0,43.38,2026Q1,
板橋區,八層,Mid (6-10F),Mansion,365.0,69.35,2026Q1,
板橋區,二十二層,Super High (21F+),Mansion,3720.0,83.33,2026Q1,
板橋區,一層,Low (1-5F),公寓(5樓含以下無電梯),1400.0,51.06,2026Q1,
板橋區,十五層,High (11-20F),Mansion,2722.0,82.31,2026Q1,
板橋區,六層,Mid (6-10F),Mansion,1593.0,70.08,2026Q1,
板橋區,三層,Low (1-5F),Mansion,2650.0,48.59,2026Q1,
板橋區,五層,Low (1-5F),Mansion,1030.0,66.97,2026Q1,
板橋區,八層,Mid (6-10F),Mansion,2700.0,67.61,2026Q1,
板橋區,二層,Low (1-5F),公寓(5樓含以下無電梯),1300.0,56.96,2026Q1,
板橋區,二層,Low (1-5F),Mansion,2188.0,67.76,2026Q1,
板橋區,三層,Low (1-5F),公寓(5樓含以下無電梯),1500.0,45.77,2026Q1,
板橋區,十二層,High (11-20F),Mansion,2030.0,44.47,2026Q1,
板橋區,七層,Mid (6-10F),Mansion,1700.0,58.33,2026Q1,
板橋區,一層，平台，騎樓,一層，平台，騎樓,公寓(5樓含以下無電梯),3000.0,69.33,2026Q1,
板橋區,四層，陽台,四層，陽台,公寓(5樓含以下無電梯),1130.0,37.94,2026Q1,
板橋區,二十一層,Super High (21F+),Mansion,5045.0,121.17,2026Q1,
板橋區,十五層,High (11-20F),Mansion,5000.0,120.0,2025Q4,
板橋區,四層,Low (1-5F),Mansion,1580.0,69.96,2025Q4,
板橋區,一層，屋頂突出物，見其他登記事項,一層，屋頂突出物，見其他登記事項,Mansion,2988.0,55.9,2025Q4,
板橋區,二層,Low (1-5F),Mansion,1800.0,63.67,2025Q4,
