District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
林口區,五層,Low (1-5F),Elevator Building,2820.0,56.18,2026Q1,
林口區,十八層,High (11-20F),Mansion,3500.0,35.88,2026Q1,
林口區,十層,Mid (6-10F),Mansion,2023.0,58.54,2026Q1,
林口區,七層,Mid (6-10F),Elevator Building,1750.0,34.9,2026Q1,
林口區,八層,Mid (6-10F),Mansion,4130.0,46.97,2026Q1,
林口區,五層,Low (1-5F),Mansion,1995.0,57.64,2026Q1,
林口區,七層,Mid (6-10F),Mansion,2033.0,58.25,2026Q1,
林口區,一層,Low (1-5F),Mansion,3888.0,66.06,2026Q1,
林口區,九層,Mid (6-10F),Elevator Building,3408.0,55.1,2025Q4,
林口區,十四層,High (11-20F),Mansion,3588.0,51.73,2025Q4,
林口區,八層,Mid (6-10F),Mansion,1500.0,44.19,2025Q3,
