District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
汐止區,二層,Low (1-5F),公寓(5樓含以下無電梯),1050.0,35.64,2026Q1,
汐止區,十九層,High (11-20F),Mansion,468.0,31.87,2026Q1,
汐止區,三層,Low (1-5F),公寓(5樓含以下無電梯),900.0,31.91,2026Q1,
汐止區,三層,Low (1-5F),Mansion,1870.0,44.96,2026Q1,
汐止區,六層,Mid (6-10F),Elevator Building,290.0,28.84,2026Q1,
汐止區,三層,Low (1-5F),Mansion,1660.0,33.46,2026Q1,
汐止區,三層,Low (1-5F),Mansion,600.0,57.36,2026Q1,
汐止區,二層,Low (1-5F),Elevator Building,1288.0,48.16,2026Q1,
汐止區,四層,Low (1-5F),公寓(5樓含以下無電梯),520.0,19.03,2026Q1,
汐止區,八層,Mid (6-10F),Mansion,1650.0,55.98,2026Q1,
汐止區,四層,Low (1-5F),Elevator Building,950.0,32.23,2026Q1,
汐止區,十二層,High (11-20F),Mansion,1115.0,47.8,2026Q1,
汐止區,二十五層,Super High (21F+),Mansion,4000.0,32.92,2026Q1,
汐止區,十五層,High (11-20F),Mansion,1146.0,64.47,2026Q1,
汐止區,四層,Low (1-5F),Mansion,1150.0,43.22,2026Q1,
汐止區,十一層,High (11-20F),Mansion,790.0,68.96,2026Q1,
汐止區,六層,Mid (6-10F),Elevator Building,296.0,29.44,2026Q1,
汐止區,十三層,High (11-20F),Mansion,2949.0,63.43,2025Q3,
