District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
淡水區,三層,Low (1-5F),Elevator Building,1326.0,31.88,2026Q1,
淡水區,三層,Low (1-5F),公寓(5樓含以下無電梯),390.0,13.66,2026Q1,
淡水區,九層,Mid (6-10F),Mansion,2900.0,35.15,2026Q1,
淡水區,七層,Mid (6-10F),Elevator Building,700.0,27.28,2026Q1,
淡水區,五層,Low (1-5F),Elevator Building,2550.0,41.08,2026Q1,
淡水區,四層,Low (1-5F),Mansion,460.0,31.89,2026Q1,
淡水區,三層,Low (1-5F),Mansion,1030.0,27.9,2026Q1,
淡水區,十四層,High (11-20F),Mansion,1380.0,30.48,2026Q1,
淡水區,十二層,High (11-20F),Mansion,485.0,34.75,2026Q1,
淡水區,十層,Mid (6-10F),Mansion,975.0,26.26,2026Q1,
淡水區,八層,Mid (6-10F),Mansion,1050.0,31.95,2026Q1,
淡水區,十九層,High (11-20F),Mansion,651.0,21.51,2026Q1,
淡水區,五層,Low (1-5F),Elevator Building,858.0,27.23,2026Q1,
淡水區,十一層,High (11-20F),Mansion,1118.0,33.27,2026Q1,
淡水區,三層,Low (1-5F),Mansion,900.0,23.18,2026Q1,
淡水區,五層,Low (1-5F),公寓(5樓含以下無電梯),220.0,26.12,2026Q1,
淡水區,十一層,High (11-20F),Mansion,1438.0,27.87,2026Q1,
淡水區,四層,Low (1-5F),Mansion,1938.0,45.54,2026Q1,
淡水區,十二層,High (11-20F),Mansion,1418.0,59.22,2026Q1,
淡水區,地下一層,Basement,Elevator Building,198.0,24.9,2025Q4,
淡水區,七層,Mid (6-10F),Mansion,2368.0,41.77,2025Q4,
淡水區,十五層,High (11-20F),Mansion,1480.0,38.54,2025Q1,
