District,Quarter,MedianPricePerPing,TransactionCount,QoQ_pct,YoY_pct
中區,2026Q1,27.95,2,,
南區,2025Q4,36.14,3,,
南區,2026Q1,34.0,9,-5.92,
南屯區,2025Q4,27.67,1,,
南屯區,2026Q1,37.43,19,35.27,
后里區,2025Q4,28.2,1,,
后里區,2026Q1,22.72,2,,
外埔區,2026Q1,28.98,1,,
大甲區,2025Q4,26.97,1,,
大甲區,2026Q1,22.43,2,,
大雅區,2025Q4,25.47,1,,
大雅區,2026Q1,28.16,2,,
太平區,2022Q4,42.96,1,,
太平區,2023Q4,43.78,1,,
太平區,2025Q4,32.42,2,,
太平區,2026Q1,31.24,12,-3.64,
東勢區,2026Q1,21.72,2,,
東區,2025Q1,37.12,1,,
東區,2025Q4,30.6,1,,
東區,2026Q1,31.01,3,,
梧棲區,2026Q1,22.06,2,,
沙鹿區,2021Q4,21.7,6,,
沙鹿區,2025Q4,30.01,3,,
沙鹿區,2026Q1,27.33,2,,
清水區,2025Q4,27.18,1,,
清水區,2026Q1,20.39,1,,
潭子區,2025Q4,40.71,1,,
潭子區,2026Q1,26.02,8,-36.08,
烏日區,2025Q4,36.52,2,,
烏日區,2026Q1,25.78,3,,
石岡區,2026Q1,23.26,1,,
神岡區,2026Q1,30.0,2,,
西區,2025Q3,42.19,1,,
西區,2025Q4,33.36,3,,
西區,2026Q1,33.48,6,0.36,
西屯區,2025Q4,26.52,1,,
西屯區,2026Q1,38.82,20,46.38,
豐原區,2026Q1,20.78,2,,
霧峰區,2025Q2,43.56,1,,
霧峰區,2026Q1,33.12,1,,
龍井區,2026Q1,18.21,1,,
