District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
南區,十三層,High (11-20F),Mansion,1420.0,42.24,2026Q1,
南區,四層,Low (1-5F),Elevator Building,1645.0,55.97,2026Q1,
南區,十二層,High (11-20F),Mansion,750.0,27.13,2026Q1,
南區,十四層,High (11-20F),Mansion,1400.0,42.25,2026Q1,
南區,十四層,High (11-20F),Mansion,1200.0,34.0,2026Q1,
南區,七層,Mid (6-10F),Mansion,970.0,31.59,2026Q1,
南區,三層,Low (1-5F),公寓(5樓含以下無電梯),630.0,27.84,2026Q1,
南區,五層,Low (1-5F),Elevator Building,185.0,16.05,2026Q1,
南區,十層,Mid (6-10F),Mansion,1550.0,41.99,2026Q1,
南區,七層,Mid (6-10F),Mansion,932.0,25.14,2026Q1,
南區,二層,Low (1-5F),Mansion,1786.0,34.0,2026Q1,
南區,六層,Mid (6-10F),Mansion,845.0,33.36,2025Q4,
南區,十二層,High (11-20F),Mansion,1450.0,36.14,2025Q4,
南區,全,Unknown,Townhouse,2620.0,49.06,2025Q4,
