District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
南屯區,二十二層，二十三層,二十二層，二十三層,Mansion,6320.0,37.43,2026Q1,
南屯區,十一層,High (11-20F),Mansion,1658.0,34.43,2026Q1,
南屯區,三層,Low (1-5F),Elevator Building,1888.0,41.19,2026Q1,
南屯區,四層,Low (1-5F),Elevator Building,150.0,17.86,2026Q1,
南屯區,全,Unknown,Townhouse,1820.0,76.1,2026Q1,
南屯區,六層,Mid (6-10F),Mansion,1568.0,39.09,2026Q1,
南屯區,十層,Mid (6-10F),Mansion,1130.0,34.75,2026Q1,
南屯區,十三層,High (11-20F),Mansion,1620.0,32.58,2026Q1,
南屯區,四層,Low (1-5F),Mansion,1088.0,38.88,2026Q1,
南屯區,七層,Mid (6-10F),Mansion,925.0,50.09,2026Q1,
南屯區,十一層,High (11-20F),Mansion,2778.0,47.96,2026Q1,
南屯區,九層,Mid (6-10F),Mansion,915.0,20.96,2026Q1,
南屯區,十二層,High (11-20F),Mansion,1680.0,44.84,2026Q1,
南屯區,七層,Mid (6-10F),Mansion,840.0,29.82,2026Q1,
南屯區,七層,Mid (6-10F),Elevator Building,1150.0,27.26,2026Q1,
南屯區,六層,Mid (6-10F),Mansion,2066.0,46.39,2026Q1,
南屯區,四層,Low (1-5F),Mansion,1500.0,31.91,2026Q1,
南屯區,十四層,High (11-20F),Mansion,5160.0,67.66,2026Q1,
南屯區,四層,Low (1-5F),Elevator Building,440.0,33.83,2026Q1,
南屯區,十八層,High (11-20F),Mansion,1688.0,36.7,2026Q1,
南屯區,七層,Mid (6-10F),Elevator Building,1260.0,39.64,2026Q1,
南屯區,六層,Mid (6-10F),Mansion,900.0,27.67,2025Q4,
