District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
太平區,十二層,High (11-20F),Mansion,55.0,13.91,2026Q1,
太平區,二層,Low (1-5F),公寓(5樓含以下無電梯),236.0,9.12,2026Q1,
太平區,三層,Low (1-5F),Mansion,1350.0,31.83,2026Q1,
太平區,九層,Mid (6-10F),Mansion,1450.0,36.43,2026Q1,
太平區,十一層,High (11-20F),Mansion,1368.0,34.84,2026Q1,
太平區,十一層,High (11-20F),Mansion,1380.0,34.43,2026Q1,
太平區,八層,Mid (6-10F),Mansion,980.0,30.65,2026Q1,
太平區,十二層,High (11-20F),Mansion,1800.0,30.44,2026Q1,
太平區,十二層,High (11-20F),Mansion,1510.0,32.62,2026Q1,
太平區,四層,Low (1-5F),Mansion,1258.0,36.04,2026Q1,
太平區,二層,Low (1-5F),Mansion,1300.0,25.54,2026Q1,
太平區,九層,Mid (6-10F),Mansion,1700.0,25.35,2026Q1,
太平區,二層,Low (1-5F),Mansion,1450.0,37.58,2026Q1,
太平區,全,Unknown,Townhouse,2980.0,16.0,2026Q1,
太平區,五層,Low (1-5F),Mansion,1360.0,27.57,2025Q4,
太平區,全,Unknown,Townhouse,1350.0,37.26,2025Q4,
太平區,全,Unknown,Townhouse,2705.0,43.78,2023Q4,
太平區,全,Unknown,Townhouse,2654.0,42.96,2022Q4,
