District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
沙鹿區,全,Unknown,Townhouse,666.0,29.15,2026Q1,
沙鹿區,十層,Mid (6-10F),Elevator Building,970.0,25.51,2026Q1,
沙鹿區,十三層,High (11-20F),Mansion,1255.0,30.2,2025Q4,
沙鹿區,六層,Mid (6-10F),Mansion,1530.0,28.25,2025Q4,
沙鹿區,十二層,High (11-20F),Mansion,1233.0,30.01,2025Q4,
沙鹿區,七層,Mid (6-10F),Elevator Building,1025.0,22.26,2021Q4,
沙鹿區,四層,Low (1-5F),Elevator Building,837.0,20.52,2021Q4,
沙鹿區,五層,Low (1-5F),Elevator Building,1015.0,22.05,2021Q4,
沙鹿區,二層,Low (1-5F),Elevator Building,958.0,22.1,2021Q4,
沙鹿區,五層,Low (1-5F),Elevator Building,925.0,21.34,2021Q4,
沙鹿區,七層,Mid (6-10F),Elevator Building,1200.0,23.3,2021Q4,
沙鹿區,四層,Low (1-5F),Elevator Building,940.0,20.42,2021Q4,
沙鹿區,四層,Low (1-5F),Elevator Building,940.0,20.4,2021Q4,
