District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
潭子區,三層,Low (1-5F),Elevator Building,1080.0,20.17,2026Q1,
潭子區,全,Unknown,Townhouse,1600.0,26.16,2026Q1,
潭子區,九層,Mid (6-10F),Mansion,1448.0,31.47,2026Q1,
潭子區,四層,Low (1-5F),Elevator Building,800.0,22.55,2026Q1,
潭子區,十一層,High (11-20F),Mansion,1815.0,39.18,2026Q1,
潭子區,全,Unknown,Townhouse,1050.0,23.42,2026Q1,
潭子區,十五層,High (11-20F),Mansion,950.0,22.44,2026Q1,
潭子區,三層,Low (1-5F),Elevator Building,550.0,28.51,2026Q1,
潭子區,三層,Low (1-5F),Mansion,1657.0,29.48,2026Q1,
潭子區,十四層,High (11-20F),Mansion,636.0,25.88,2026Q1,
潭子區,六層,Mid (6-10F),Mansion,1864.0,40.71,2025Q4,
