District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
西屯區,十三層,High (11-20F),Mansion,2038.0,48.34,2026Q1,
西屯區,三層,Low (1-5F),Mansion,600.0,47.37,2026Q1,
西屯區,五層,Low (1-5F),Mansion,300.0,26.99,2026Q1,
西屯區,十一層,High (11-20F),Mansion,150.0,22.14,2026Q1,
西屯區,四層,Low (1-5F),Elevator Building,530.0,15.18,2026Q1,
西屯區,五層,Low (1-5F),Elevator Building,705.0,27.29,2026Q1,
西屯區,二十四層,Super High (21F+),Mansion,1668.0,46.73,2026Q1,
西屯區,六層,Mid (6-10F),Mansion,2000.0,38.03,2026Q1,
西屯區,十五層,High (11-20F),Mansion,1608.0,52.51,2026Q1,
西屯區,十層,Mid (6-10F),Mansion,2500.0,49.54,2026Q1,
西屯區,十三層,High (11-20F),Mansion,2620.0,42.74,2026Q1,
西屯區,十四層,High (11-20F),Mansion,2600.0,41.31,2026Q1,
西屯區,五層,Low (1-5F),Elevator Building,980.0,39.6,2026Q1,
西屯區,一層,Low (1-5F),Elevator Building,215.0,27.12,2026Q1,
西屯區,二層,Low (1-5F),Mansion,1716.8,18.92,2026Q1,
西屯區,十九層,High (11-20F),Mansion,3300.0,39.79,2026Q1,
西屯區,三層,Low (1-5F),Elevator Building,380.0,32.91,2026Q1,
西屯區,六層,Mid (6-10F),Mansion,875.0,21.99,2026Q1,
西屯區,六層,Mid (6-10F),Mansion,1205.0,26.49,2026Q1,
西屯區,七層,Mid (6-10F),Mansion,1382.0,46.98,2026Q1,
西屯區,十層,Mid (6-10F),Mansion,900.0,35.07,2026Q1,
西屯區,二十一層,Super High (21F+),Mansion,3990.0,61.92,2026Q1,
西屯區,十二層,High (11-20F),Mansion,1520.0,25.97,2026Q1,
西屯區,三層,Low (1-5F),Mansion,3700.0,44.4,2026Q1,
西屯區,八層,Mid (6-10F),Mansion,1500.0,26.52,2025Q4,
