District,Quarter,MedianPricePerPing,TransactionCount,QoQ_pct,YoY_pct
七股區,2022Q1,20.59,1,,
七股區,2022Q3,13.98,9,-32.1,
七股區,2022Q4,13.3,4,,
七股區,2023Q1,19.07,11,43.38,
七股區,2023Q2,20.7,12,8.55,0.53
七股區,2023Q3,14.63,6,-29.32,4.65
七股區,2023Q4,13.46,9,-8.0,1.2
七股區,2024Q1,16.7,10,24.07,-12.43
七股區,2024Q2,18.05,2,,
七股區,2024Q3,18.52,6,2.6,26.59
七股區,2024Q4,14.09,1,,
下營區,2022Q4,10.76,2,,
下營區,2023Q1,8.91,3,,
下營區,2023Q2,16.09,3,,
下營區,2023Q3,21.86,16,35.86,
下營區,2023Q4,15.71,2,,
下營區,2024Q1,24.98,8,59.01,180.36
下營區,2024Q2,25.26,3,,
下營區,2024Q3,17.2,2,,
中西區,2022Q2,36.53,2,,
中西區,2022Q3,38.56,6,5.56,
中西區,2022Q4,21.06,66,-45.38,
中西區,2023Q1,20.43,90,-2.99,
中西區,2023Q2,18.96,162,-7.2,-48.1
中西區,2023Q3,27.6,104,45.57,-28.42
中西區,2023Q4,21.88,75,-20.72,3.89
中西區,2024Q1,22.61,91,3.34,10.67
中西區,2024Q2,24.78,122,9.6,30.7
中西區,2024Q3,25.71,79,3.75,-6.85
中西區,2024Q4,21.9,20,-14.82,0.09
仁德區,2018Q1,10.76,2,,
仁德區,2018Q4,10.08,1,,
仁德區,2020Q2,21.39,2,,
仁德區,2020Q3,23.0,2,,
仁德區,2020Q4,24.11,1,,
仁德區,2021Q3,25.64,30,6.35,154.37
仁德區,2021Q4,26.18,3,,
仁德區,2022Q1,27.1,13,3.51,17.83
仁德區,2022Q2,23.33,3,,
仁德區,2022Q3,27.33,2,,
仁德區,2022Q4,19.64,26,-28.14,-24.98
仁德區,2023Q1,18.44,51,-6.11,-31.96
仁德區,2023Q2,21.3,52,15.51,-8.7
仁德區,2023Q3,22.21,69,4.27,-18.73
仁德區,2023Q4,23.14,73,4.19,17.82
仁德區,2024Q1,23.1,73,-0.17,25.27
仁德區,2024Q2,27.54,90,19.22,29.3
仁德區,2024Q3,23.06,72,-16.27,3.83
仁德區,2024Q4,26.81,4,,
佳里區,2019Q2,20.52,1,,
佳里區,2019Q4,22.9,3,,
佳里區,2020Q3,17.05,11,-25.55,
佳里區,2020Q4,17.53,7,2.82,
佳里區,2021Q1,22.9,3,,
佳里區,2021Q2,21.62,4,,
佳里區,2022Q2,18.45,1,,
佳里區,2022Q3,17.86,14,-3.2,1.88
佳里區,2022Q4,17.28,21,-3.25,-24.54
佳里區,2023Q1,19.51,31,12.91,-9.76
佳里區,2023Q2,21.8,49,11.74,18.16
佳里區,2023Q3,22.59,49,3.62,26.48
佳里區,2023Q4,19.88,48,-12.0,15.05
