District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
仁德區,十四層,High (11-20F),Mansion,947.0,31.75,2026Q1,
仁德區,八層,Mid (6-10F),Mansion,985.0,32.82,2026Q1,
仁德區,七層,Mid (6-10F),Mansion,1360.0,27.41,2026Q1,
仁德區,五層,Low (1-5F),Elevator Building,256.0,20.41,2026Q1,
仁德區,六層,Mid (6-10F),Mansion,680.0,25.49,2026Q1,
仁德區,全,Unknown,Townhouse,1430.0,28.78,2026Q1,
仁德區,四層,Low (1-5F),Elevator Building,950.0,32.33,2026Q1,
仁德區,十六層,High (11-20F),Mansion,1670.0,33.32,2026Q1,
仁德區,十層,Mid (6-10F),Mansion,1297.0,31.44,2025Q4,
仁德區,二層,Low (1-5F),Mansion,1200.0,29.66,2025Q3,
