District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
安南區,五層,Low (1-5F),Elevator Building,990.0,30.78,2026Q1,
安南區,五層,Low (1-5F),Mansion,1730.0,38.45,2026Q1,
安南區,全,Unknown,Townhouse,1288.0,25.51,2026Q1,
安南區,全,Unknown,Townhouse,1100.0,21.26,2026Q1,
安南區,全,Unknown,Townhouse,1800.0,27.91,2026Q1,
安南區,三層,Low (1-5F),Elevator Building,1020.0,33.14,2026Q1,
安南區,全,Unknown,Townhouse,1750.0,36.49,2026Q1,
安南區,三層,Low (1-5F),Elevator Building,820.0,28.13,2026Q1,
安南區,十一層,High (11-20F),Mansion,1065.0,33.39,2026Q1,
安南區,全,Unknown,Townhouse,2580.0,25.17,2026Q1,
安南區,全,Unknown,Townhouse,1323.0,25.92,2026Q1,
安南區,八層,Mid (6-10F),Mansion,1210.0,29.16,2026Q1,
安南區,全,Unknown,Townhouse,1920.0,39.67,2026Q1,
安南區,全,Unknown,Townhouse,1935.0,39.98,2026Q1,
安南區,全,Unknown,Townhouse,5750.0,39.92,2025Q4,
安南區,八層,Mid (6-10F),Mansion,1250.0,26.27,2025Q4,
