District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
東區,五層,Low (1-5F),Elevator Building,420.0,14.24,2026Q1,
東區,十四層,High (11-20F),Mansion,1650.0,37.53,2026Q1,
東區,三層,Low (1-5F),Elevator Building,130.0,15.82,2026Q1,
東區,六層,Mid (6-10F),Mansion,1700.0,42.3,2026Q1,
東區,六層,Mid (6-10F),Mansion,1638.0,40.31,2026Q1,
東區,十層,Mid (6-10F),Mansion,215.0,27.15,2026Q1,
東區,八層,Mid (6-10F),Mansion,1520.0,36.42,2026Q1,
東區,十一層,High (11-20F),Mansion,1520.0,28.48,2026Q1,
東區,九層,Mid (6-10F),Mansion,550.0,34.94,2026Q1,
東區,三層,Low (1-5F),Mansion,1365.0,36.24,2026Q1,
東區,全,Unknown,Townhouse,3088.0,39.77,2026Q1,
東區,十層,Mid (6-10F),Mansion,3288.0,41.9,2026Q1,
東區,五層,Low (1-5F),Mansion,2038.0,44.1,2026Q1,
東區,十五層,High (11-20F),Mansion,2100.0,45.46,2026Q1,
東區,三層,Low (1-5F),Elevator Building,760.0,24.97,2026Q1,
東區,十三層,High (11-20F),Mansion,860.0,19.25,2026Q1,
東區,一層，二層,一層，二層,Mansion,1300.0,23.09,2025Q4,
