District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
永康區,五層,Low (1-5F),Elevator Building,610.0,17.97,2026Q1,
永康區,全,Unknown,Townhouse,513.0,18.54,2026Q1,
永康區,十一層,High (11-20F),Mansion,340.0,22.78,2026Q1,
永康區,十五層,High (11-20F),Mansion,1360.0,31.78,2026Q1,
永康區,一層，二層，三層，騎樓,一層，二層，三層，騎樓,Elevator Building,1420.0,21.44,2026Q1,
永康區,十六層,High (11-20F),Mansion,1525.0,33.44,2026Q1,
永康區,一層,Low (1-5F),Mansion,920.0,27.15,2026Q1,
永康區,十四層,High (11-20F),Mansion,430.0,20.74,2026Q1,
永康區,全,Unknown,Townhouse,2400.0,39.35,2026Q1,
永康區,八層,Mid (6-10F),Mansion,890.0,33.7,2026Q1,
永康區,五層,Low (1-5F),Mansion,968.0,30.77,2026Q1,
永康區,三層,Low (1-5F),Mansion,550.0,14.27,2026Q1,
永康區,二層,Low (1-5F),Elevator Building,320.0,18.18,2026Q1,
永康區,四層,Low (1-5F),Elevator Building,450.0,18.06,2026Q1,
永康區,二層,Low (1-5F),Mansion,1450.0,31.08,2026Q1,
永康區,四層,Low (1-5F),Elevator Building,1340.0,37.18,2026Q1,
永康區,六層,Mid (6-10F),Mansion,670.0,18.96,2026Q1,
永康區,九層,Mid (6-10F),Mansion,1318.0,37.67,2026Q1,
永康區,十一層,High (11-20F),Mansion,950.0,22.18,2026Q1,
永康區,八層,Mid (6-10F),Mansion,1468.0,31.18,2026Q1,
永康區,二層,Low (1-5F),Elevator Building,810.0,26.38,2026Q1,
永康區,四層,Low (1-5F),Elevator Building,660.0,18.23,2026Q1,
永康區,十九層,High (11-20F),Mansion,531.0,18.62,2026Q1,
永康區,全,Unknown,Townhouse,2460.0,32.46,2025Q4,
永康區,三層,Low (1-5F),Mansion,701.0,15.49,2025Q4,
永康區,十二層,High (11-20F),Mansion,985.0,34.53,2025Q4,
