District,Quarter,AvgPricePerPing,TransactionCount,QoQ_pct,YoY_pct
中山區,2026Q1,84.87,10,,
中正區,2026Q1,116.92,4,,
信義區,2026Q1,89.3,2,,
內湖區,2025Q4,101.76,1,,
內湖區,2026Q1,86.5,2,-15.0,
北投區,2023Q3,89.28,1,,
北投區,2026Q1,83.0,3,-7.03,
南港區,2025Q4,51.01,1,,
士林區,2025Q4,70.89,1,,
士林區,2026Q1,69.58,5,-1.85,
大同區,2025Q4,76.47,1,,
大同區,2026Q1,74.61,2,-2.43,
大安區,2026Q1,122.29,5,,
文山區,2022Q2,72.4,1,,
文山區,2025Q4,107.57,1,48.58,
文山區,2026Q1,77.93,5,-27.55,
松山區,2025Q4,136.09,1,,
松山區,2026Q1,84.65,1,-37.8,
萬華區,2026Q1,67.53,5,,
