District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
中山區,三層,Low (1-5F),公寓(5樓含以下無電梯),1500.0,68.16,2026Q1,
中山區,五層,Low (1-5F),Elevator Building,1000.0,91.55,2026Q1,
中山區,六層,Mid (6-10F),Mansion,8400.0,71.04,2026Q1,
中山區,十一層,High (11-20F),Mansion,1380.0,83.74,2026Q1,
中山區,十一層,High (11-20F),Mansion,2660.0,118.43,2026Q1,
中山區,地下一層,Basement,Elevator Building,3700.0,30.5,2026Q1,
中山區,十二層,High (11-20F),Mansion,10990.0,104.79,2026Q1,
中山區,三層,Low (1-5F),Elevator Building,2600.0,92.35,2026Q1,
中山區,一層，騎樓,一層，騎樓,Elevator Building,2300.0,72.54,2026Q1,
中山區,五層,Low (1-5F),Elevator Building,3545.0,115.64,2026Q1,
