District,Quarter,AvgPricePerPing,TransactionCount,QoQ_pct,YoY_pct
中壢區,2025Q3,35.12,2,,
中壢區,2025Q4,31.59,9,-10.05,
中壢區,2026Q1,34.01,41,7.66,
八德區,2025Q4,42.35,3,,
八德區,2026Q1,32.45,15,-23.38,
大園區,2025Q4,28.49,1,,
大園區,2026Q1,25.39,9,-10.88,
大溪區,2025Q4,7.09,1,,
大溪區,2026Q1,20.57,3,190.13,
平鎮區,2024Q2,34.18,5,,
平鎮區,2025Q4,99.99,4,192.54,
平鎮區,2026Q1,25.06,15,-74.94,
復興區,2026Q1,7.2,1,,
新屋區,2026Q1,15.5,2,,
桃園區,2025Q4,34.64,7,,
桃園區,2026Q1,35.12,36,1.39,
楊梅區,2025Q4,12.97,1,,
楊梅區,2026Q1,19.57,17,50.89,
蘆竹區,2026Q1,26.19,9,,
觀音區,2025Q4,20.8,3,,
觀音區,2026Q1,21.79,13,4.76,
龍潭區,2025Q4,20.28,3,,
龍潭區,2026Q1,18.74,11,-7.59,
龜山區,2025Q4,39.85,3,,
龜山區,2026Q1,36.46,11,-8.51,
