District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
中壢區,五層,Low (1-5F),公寓(5樓含以下無電梯),638.0,22.7,2026Q1,
中壢區,六層,Mid (6-10F),Mansion,760.0,21.32,2026Q1,
中壢區,十五層,High (11-20F),Mansion,1030.0,24.87,2026Q1,
中壢區,十四層,High (11-20F),Mansion,1200.0,29.33,2026Q1,
中壢區,九層,Mid (6-10F),Mansion,1319.2,34.2,2026Q1,
中壢區,十一層,High (11-20F),Mansion,1850.0,31.43,2026Q1,
中壢區,九層,Mid (6-10F),Elevator Building,685.0,26.06,2026Q1,
中壢區,十五層,High (11-20F),Mansion,1188.0,50.74,2026Q1,
中壢區,十五層,High (11-20F),Mansion,1308.0,52.15,2026Q1,
中壢區,六層,Mid (6-10F),Elevator Building,280.0,29.25,2026Q1,
中壢區,七層,Mid (6-10F),Mansion,795.0,23.32,2026Q1,
中壢區,十二層,High (11-20F),Mansion,990.0,27.11,2026Q1,
中壢區,五層,Low (1-5F),Mansion,1330.0,24.47,2026Q1,
中壢區,九層,Mid (6-10F),Mansion,1950.0,43.69,2026Q1,
中壢區,六層,Mid (6-10F),Elevator Building,370.0,25.07,2026Q1,
中壢區,全,Unknown,Townhouse,1620.0,38.38,2026Q1,
中壢區,十四層,High (11-20F),Mansion,2300.0,37.23,2026Q1,
中壢區,全,Unknown,Townhouse,1750.0,26.03,2026Q1,
中壢區,十四層,High (11-20F),Mansion,500.0,35.29,2026Q1,
中壢區,八層,Mid (6-10F),Elevator Building,580.0,17.22,2026Q1,
中壢區,六層,Mid (6-10F),Mansion,2520.0,44.61,2026Q1,
中壢區,二層,Low (1-5F),Elevator Building,900.0,34.9,2026Q1,
中壢區,四層,Low (1-5F),公寓(5樓含以下無電梯),360.0,16.66,2026Q1,
中壢區,四層,Low (1-5F),Mansion,540.0,24.32,2026Q1,
中壢區,五層,Low (1-5F),Mansion,1350.0,57.19,2026Q1,
中壢區,十三層,High (11-20F),Mansion,1120.0,26.61,2026Q1,
中壢區,五層,Low (1-5F),Mansion,1100.0,28.66,2026Q1,
中壢區,四層,Low (1-5F),Mansion,1322.0,28.3,2026Q1,
中壢區,六層,Mid (6-10F),Mansion,1060.0,26.74,2026Q1,
中壢區,全,Unknown,Townhouse,800.0,42.56,2026Q1,
中壢區,全,Unknown,Townhouse,1178.0,30.16,2026Q1,
中壢區,十一層,High (11-20F),Mansion,2750.0,34.63,2026Q1,
中壢區,三層,Low (1-5F),Mansion,1780.0,36.67,2026Q1,
中壢區,三層,Low (1-5F),公寓(5樓含以下無電梯),428.0,18.7,2026Q1,
中壢區,九層,Mid (6-10F),Elevator Building,1756.0,57.97,2026Q1,
中壢區,一層，見其他登記事項,一層，見其他登記事項,Elevator Building,4019.0,84.99,2026Q1,
中壢區,全,Unknown,Townhouse,1500.0,23.38,2026Q1,
中壢區,三層,Low (1-5F),Mansion,1168.0,29.39,2026Q1,
中壢區,一層，二層,一層，二層,Mansion,4988.0,77.83,2026Q1,
中壢區,全,Unknown,Townhouse,935.0,18.3,2026Q1,
中壢區,七層,Mid (6-10F),Mansion,1300.0,31.98,2026Q1,
中壢區,四層,Low (1-5F),Mansion,3330.0,35.73,2025Q4,
中壢區,五層,Low (1-5F),Mansion,1000.0,32.83,2025Q4,
中壢區,九層,Mid (6-10F),Mansion,1330.0,37.93,2025Q4,
中壢區,五層,Low (1-5F),公寓(5樓含以下無電梯),197.0,7.93,2025Q4,
中壢區,三層,Low (1-5F),公寓(5樓含以下無電梯),696.0,23.62,2025Q4,
中壢區,五層,Low (1-5F),Elevator Building,260.0,28.85,2025Q4,
中壢區,五層,Low (1-5F),Mansion,1430.0,49.32,2025Q4,
中壢區,十三層,High (11-20F),Mansion,1100.0,28.15,2025Q4,
中壢區,十二層,High (11-20F),Mansion,1761.0,39.94,2025Q4,
中壢區,全,Unknown,Townhouse,2350.0,25.32,2025Q3,
中壢區,九層,Mid (6-10F),Mansion,1572.0,44.93,2025Q3,
