District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
八德區,十六層,High (11-20F),Mansion,2068.0,42.31,2026Q1,
八德區,十二層,High (11-20F),Mansion,545.0,25.65,2026Q1,
八德區,全,Unknown,Townhouse,670.0,19.9,2026Q1,
八德區,十四層,High (11-20F),Mansion,1120.0,36.93,2026Q1,
八德區,七層,Mid (6-10F),Elevator Building,1480.0,31.31,2026Q1,
八德區,十一層,High (11-20F),Mansion,1486.0,47.16,2026Q1,
八德區,二層,Low (1-5F),Mansion,1070.0,32.03,2026Q1,
八德區,十三層,High (11-20F),Mansion,1210.0,27.05,2026Q1,
八德區,七層,Mid (6-10F),Mansion,1500.0,41.63,2026Q1,
八德區,六層,Mid (6-10F),Mansion,2030.0,41.49,2026Q1,
八德區,四層,Low (1-5F),公寓(5樓含以下無電梯),506.0,27.78,2026Q1,
八德區,五層,Low (1-5F),Mansion,1550.0,42.57,2026Q1,
八德區,全,Unknown,Townhouse,990.0,24.42,2026Q1,
八德區,二層,Low (1-5F),Elevator Building,2490.0,24.72,2026Q1,
八德區,七層,Mid (6-10F),Elevator Building,650.0,21.83,2026Q1,
八德區,四層,Low (1-5F),Mansion,1563.0,43.28,2025Q4,
八德區,十一層,High (11-20F),Mansion,1610.0,44.73,2025Q4,
八德區,四層,Low (1-5F),Mansion,1206.0,39.04,2025Q4,
