District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
大園區,二層,Low (1-5F),Elevator Building,1200.0,21.24,2026Q1,
大園區,五層,Low (1-5F),Elevator Building,1475.0,22.37,2026Q1,
大園區,十三層,High (11-20F),Mansion,900.0,25.78,2026Q1,
大園區,六層,Mid (6-10F),Elevator Building,590.0,32.9,2026Q1,
大園區,四層,Low (1-5F),Mansion,1240.0,27.4,2026Q1,
大園區,全,Unknown,Townhouse,2300.0,36.73,2026Q1,
大園區,七層,Mid (6-10F),Elevator Building,1218.0,19.23,2026Q1,
大園區,全,Unknown,Townhouse,2598.0,23.42,2026Q1,
大園區,五層,Low (1-5F),Elevator Building,1068.0,19.47,2026Q1,
大園區,十層,Mid (6-10F),Mansion,1245.0,28.49,2025Q4,
