District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
平鎮區,全,Unknown,Townhouse,1200.0,21.38,2026Q1,
平鎮區,二層,Low (1-5F),Elevator Building,860.0,24.36,2026Q1,
平鎮區,四層,Low (1-5F),Mansion,1250.0,26.04,2026Q1,
平鎮區,全,Unknown,Townhouse,1007.0,16.06,2026Q1,
平鎮區,七層,Mid (6-10F),Mansion,1030.0,34.06,2026Q1,
平鎮區,全,Unknown,Townhouse,574.0,21.25,2026Q1,
平鎮區,三層,Low (1-5F),Elevator Building,710.0,23.54,2026Q1,
平鎮區,三層,Low (1-5F),Mansion,1220.0,27.11,2026Q1,
平鎮區,全,Unknown,Townhouse,2988.0,34.92,2026Q1,
平鎮區,三層,Low (1-5F),Mansion,1255.0,26.91,2026Q1,
平鎮區,五層,Low (1-5F),Elevator Building,1102.0,24.64,2026Q1,
平鎮區,全,Unknown,Townhouse,3350.0,36.8,2026Q1,
平鎮區,全,Unknown,Townhouse,600.0,19.16,2026Q1,
平鎮區,五層，夾層,五層，夾層,公寓(5樓含以下無電梯),345.0,7.93,2026Q1,
平鎮區,二層,Low (1-5F),Elevator Building,1220.0,31.8,2026Q1,
平鎮區,全,Unknown,Townhouse,1036.0,315.07,2025Q4,
平鎮區,全,Unknown,Townhouse,2490.0,32.06,2025Q4,
平鎮區,全,Unknown,Townhouse,1930.0,23.9,2025Q4,
平鎮區,全,Unknown,Townhouse,2980.0,28.92,2025Q4,
平鎮區,全,Unknown,Townhouse,2958.0,32.77,2024Q2,
平鎮區,全,Unknown,Townhouse,2540.0,32.7,2024Q2,
平鎮區,全,Unknown,Townhouse,2888.0,36.51,2024Q2,
平鎮區,全,Unknown,Townhouse,2813.0,36.22,2024Q2,
平鎮區,全,Unknown,Townhouse,2540.0,32.7,2024Q2,
