District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
桃園區,十層,Mid (6-10F),Mansion,6280.0,47.42,2026Q1,
桃園區,四層,Low (1-5F),公寓(5樓含以下無電梯),350.0,13.09,2026Q1,
桃園區,五層,Low (1-5F),Mansion,2688.0,46.07,2026Q1,
桃園區,十一層,High (11-20F),Mansion,1539.0,48.95,2026Q1,
桃園區,七層,Mid (6-10F),Elevator Building,710.0,23.51,2026Q1,
桃園區,六層,Mid (6-10F),Mansion,765.0,16.87,2026Q1,
桃園區,四層,Low (1-5F),Mansion,3158.0,35.9,2026Q1,
桃園區,六層,Mid (6-10F),Mansion,1540.0,35.46,2026Q1,
桃園區,十五層,High (11-20F),Mansion,6688.0,55.67,2026Q1,
桃園區,二層,Low (1-5F),公寓(5樓含以下無電梯),750.0,25.22,2026Q1,
桃園區,二層,Low (1-5F),Elevator Building,675.0,18.57,2026Q1,
桃園區,八層,Mid (6-10F),Mansion,3980.0,30.81,2026Q1,
桃園區,十六層,High (11-20F),Mansion,2300.0,54.11,2026Q1,
桃園區,十層,Mid (6-10F),Mansion,988.0,38.7,2026Q1,
桃園區,五層,Low (1-5F),Mansion,1480.0,46.74,2026Q1,
桃園區,十一層,High (11-20F),Mansion,1220.0,36.79,2026Q1,
桃園區,五層,Low (1-5F),Mansion,2950.0,56.37,2026Q1,
桃園區,六層,Mid (6-10F),Mansion,2200.0,33.2,2026Q1,
桃園區,十五層,High (11-20F),Mansion,1500.0,36.83,2026Q1,
桃園區,三十層,Super High (21F+),Mansion,7000.0,50.55,2026Q1,
桃園區,十三層,High (11-20F),Mansion,950.0,31.21,2026Q1,
桃園區,六層,Mid (6-10F),Mansion,1580.0,29.4,2026Q1,
桃園區,五層,Low (1-5F),Mansion,1468.0,41.88,2026Q1,
桃園區,十二層,High (11-20F),Mansion,1270.0,29.79,2026Q1,
桃園區,八層,Mid (6-10F),Mansion,1500.0,32.91,2026Q1,
桃園區,四層,Low (1-5F),Mansion,1050.0,24.65,2026Q1,
桃園區,二層,Low (1-5F),Mansion,950.0,36.63,2026Q1,
桃園區,九層,Mid (6-10F),Mansion,833.0,24.84,2026Q1,
桃園區,八層,Mid (6-10F),Mansion,2500.0,38.95,2026Q1,
桃園區,五層,Low (1-5F),Mansion,1620.0,24.26,2026Q1,
桃園區,全,Unknown,Townhouse,893.0,31.72,2026Q1,
桃園區,全,Unknown,Townhouse,857.0,31.39,2026Q1,
桃園區,四層,Low (1-5F),Mansion,1648.0,41.48,2026Q1,
桃園區,二層,Low (1-5F),Mansion,958.0,36.78,2026Q1,
桃園區,十一層,High (11-20F),Mansion,1348.0,39.85,2026Q1,
桃園區,一層,Low (1-5F),Mansion,808.0,17.86,2026Q1,
桃園區,二層,Low (1-5F),Elevator Building,640.0,19.95,2025Q4,
桃園區,三層,Low (1-5F),公寓(5樓含以下無電梯),875.0,23.66,2025Q4,
桃園區,九層,Mid (6-10F),Mansion,1505.0,33.07,2025Q4,
桃園區,一層,Low (1-5F),Elevator Building,930.0,32.32,2025Q4,
桃園區,十一層,High (11-20F),Mansion,3950.0,40.74,2025Q4,
桃園區,五層,Low (1-5F),Mansion,2360.0,47.12,2025Q4,
桃園區,一層，見其他登記事項,一層，見其他登記事項,Mansion,3800.0,45.61,2025Q4,
