District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
楊梅區,一層,Low (1-5F),Elevator Building,780.0,20.17,2026Q1,
楊梅區,六層,Mid (6-10F),Elevator Building,1265.0,29.5,2026Q1,
楊梅區,二層,Low (1-5F),公寓(5樓含以下無電梯),240.0,15.32,2026Q1,
楊梅區,二層,Low (1-5F),Elevator Building,360.0,17.3,2026Q1,
楊梅區,五層,Low (1-5F),公寓(5樓含以下無電梯),280.0,10.66,2026Q1,
楊梅區,全,Unknown,Townhouse,1200.0,21.21,2026Q1,
楊梅區,全,Unknown,Townhouse,1990.0,28.63,2026Q1,
楊梅區,四層,Low (1-5F),Mansion,608.0,14.76,2026Q1,
楊梅區,十層,Mid (6-10F),Mansion,840.0,22.07,2026Q1,
楊梅區,四層,Low (1-5F),公寓(5樓含以下無電梯),265.0,8.39,2026Q1,
楊梅區,一層，地下層,Basement,公寓(5樓含以下無電梯),750.0,20.69,2026Q1,
楊梅區,十二層,High (11-20F),Mansion,930.0,24.19,2026Q1,
楊梅區,五層,Low (1-5F),Mansion,1070.0,23.55,2026Q1,
楊梅區,全,Unknown,Townhouse,800.0,26.59,2026Q1,
楊梅區,八層,Mid (6-10F),Mansion,845.0,22.53,2026Q1,
楊梅區,五層,Low (1-5F),Elevator Building,490.0,17.46,2026Q1,
楊梅區,五層,Low (1-5F),公寓(5樓含以下無電梯),200.0,9.61,2026Q1,
楊梅區,二層,Low (1-5F),Elevator Building,365.0,12.97,2025Q4,
