District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
觀音區,一層,Low (1-5F),Elevator Building,370.0,12.07,2026Q1,
觀音區,三層,Low (1-5F),Mansion,721.0,25.13,2026Q1,
觀音區,全,Unknown,Townhouse,2500.0,34.59,2026Q1,
觀音區,十層,Mid (6-10F),Mansion,920.0,23.94,2026Q1,
觀音區,全,Unknown,Townhouse,1800.0,18.6,2026Q1,
觀音區,六層,Mid (6-10F),Mansion,492.0,13.83,2026Q1,
觀音區,二層,Low (1-5F),Elevator Building,470.0,22.24,2026Q1,
觀音區,十三層,High (11-20F),Mansion,560.0,21.34,2026Q1,
觀音區,四層,Low (1-5F),Elevator Building,420.0,17.87,2026Q1,
觀音區,三層,Low (1-5F),Elevator Building,438.0,26.84,2026Q1,
觀音區,全,Unknown,Townhouse,1188.0,20.73,2026Q1,
觀音區,七層,Mid (6-10F),Elevator Building,772.5,24.71,2026Q1,
觀音區,三層,Low (1-5F),Elevator Building,630.0,21.32,2026Q1,
觀音區,十層,Mid (6-10F),Mansion,708.0,17.87,2025Q4,
觀音區,四層,Low (1-5F),Elevator Building,510.0,22.98,2025Q4,
觀音區,四層,Low (1-5F),Elevator Building,550.0,21.55,2025Q4,
