District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
龍潭區,八層,Mid (6-10F),Mansion,730.0,16.69,2026Q1,
龍潭區,全,Unknown,Townhouse,400.0,14.89,2026Q1,
龍潭區,十五層,High (11-20F),Mansion,458.0,20.23,2026Q1,
龍潭區,七層,Mid (6-10F),Elevator Building,520.0,15.53,2026Q1,
龍潭區,全,Unknown,Townhouse,1326.0,15.92,2026Q1,
龍潭區,全,Unknown,Townhouse,125.0,5.53,2026Q1,
龍潭區,全,Unknown,Townhouse,1980.0,22.44,2026Q1,
龍潭區,五層,Low (1-5F),Elevator Building,460.0,16.59,2026Q1,
龍潭區,二層,Low (1-5F),Elevator Building,630.0,18.66,2026Q1,
龍潭區,一層,Low (1-5F),Mansion,1328.0,33.25,2026Q1,
龍潭區,三層,Low (1-5F),Elevator Building,1560.0,26.46,2026Q1,
龍潭區,四層,Low (1-5F),Elevator Building,400.0,18.56,2025Q4,
龍潭區,全,Unknown,Townhouse,1300.0,15.5,2025Q4,
龍潭區,全,Unknown,Townhouse,2300.0,26.78,2025Q4,
