District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
龜山區,十層,Mid (6-10F),Mansion,1403.0,24.76,2026Q1,
龜山區,八層,Mid (6-10F),Mansion,1470.0,26.61,2026Q1,
龜山區,四層,Low (1-5F),公寓(5樓含以下無電梯),650.0,21.23,2026Q1,
龜山區,三層,Low (1-5F),Elevator Building,1188.0,59.29,2026Q1,
龜山區,十一層,High (11-20F),Mansion,1400.0,36.61,2026Q1,
龜山區,二十二層,Super High (21F+),Mansion,1931.0,44.44,2026Q1,
龜山區,十二層,High (11-20F),Mansion,1470.0,26.2,2026Q1,
龜山區,六層,Mid (6-10F),Mansion,1345.0,36.01,2026Q1,
龜山區,四層,Low (1-5F),Elevator Building,1240.0,27.02,2026Q1,
龜山區,十二層,High (11-20F),Mansion,1070.0,47.37,2026Q1,
龜山區,十三層,High (11-20F),Mansion,1710.0,51.52,2026Q1,
龜山區,七層,Mid (6-10F),Mansion,1408.0,36.58,2025Q4,
龜山區,二十四層,Super High (21F+),Mansion,1938.0,44.2,2025Q4,
龜山區,二十五層,Super High (21F+),Mansion,1335.0,38.78,2025Q4,
