建案名稱,起造人,層棟戶數,使用分區
中山鉑?,中山建設股份有限公司,1棟/36戶,第三種住宅區
達麗世界學,達麗建設股份有限公司,2棟/96戶,第三種住宅區
藏逸11,大雄建設股份有限公司,1棟/44戶,住宅區
築?,,,第三種住宅區
聯上芯城,聯上發展股份有限公司,3棟/156戶,商業區
利融永御,,,第三種住宅區
耀美術,,,第三種住宅區
河美術,,,第三種住宅區
美術1808,,,第三種住宅區
?埕,,,第三種住宅區
郡都大成,,,第三種住宅區
知道明,,,第三種住宅區
御上立騰,,,第三種住宅區
京城舞極,,,第三種住宅區
新文化城安,,,第三種住宅區
上學境,,,第三種住宅區
大橘新加坡5,,,第三種住宅區
捷安居6期,,,第三種住宅區
白隅,,,第三種住宅區
聯上世界極,,,第三種住宅區
遠雄一靚,,,第三種住宅區
高大之森2-高大之上,,,第三種住宅區
皇家旺博市10期B棟華廈,,,第三種住宅區
春陽逸居,,,第三種住宅區
皇家旺博市10期A棟華廈,,,第三種住宅區
國泰明誠,,,第三種住宅區
無雙,,,第三種住宅區
城揚TwinS,,,第三種住宅區
和築豐彩,,,第三種住宅區
頂亨紳鄰,,,第三種住宅區
佳鋐雄匯,,,第三種住宅區
