建案名稱,起造人,層棟戶數,使用分區
合康世紀?,合康建設股份有限公司,1棟/68戶,第三種住宅區
富霖富鄰,富霖建設開發有限公司,2棟/96戶,第三種住宅區
立陽頤興,立陽建設有限公司,1棟/42戶,住宅區
立軒天蒔,立軒建設股份有限公司,1棟/38戶,住宅區
新潤世界都心,新潤興業股份有限公司,3棟/180戶,第三種住宅區
盛德誠,,,第三種住宅區
長耀會,,,第三種住宅區
頤昌松玥,,,第三種住宅區
築禾琢玥,,,第三種住宅區
原昕吾旭,,,第三種住宅區
青澤,,,第三種住宅區
村泉蒔美,,,第三種住宅區
將捷舟際,,,第三種住宅區
SUN HOUSE,,,第三種住宅區
水美慕河,,,第三種住宅區
合謙耀時代,,,第三種住宅區
藝沐汀,,,第三種住宅區
富都新玉-新玉區,,,第三種住宅區
國王大道KING PARK,,,第三種住宅區
春城麗都,,,第三種住宅區
馥華之道-鳳庭,,,第三種住宅區
福美富琚,,,第三種住宅區
富都新玉-富都區,,,第三種住宅區
新月大河,,,第三種住宅區
國家壹號廣場Taiwan Landmark,,,第三種住宅區
昀集富昱,,,第三種住宅區
欣庄綻,,,第三種住宅區
寶亞鴻公?,,,第三種住宅區
立信園立方,,,第三種住宅區
北大悠揚,,,第三種住宅區
寶佳淳青,,,第三種住宅區
松陽馥麗,,,第三種住宅區
新濠岳,,,第三種住宅區
天好運3,,,第三種住宅區
大同新紀元,,,第三種住宅區
豐森大境,,,第三種住宅區
綻賞,,,第三種住宅區
好植,,,第三種住宅區
宏道巴黎花都,,,第三種住宅區
新濠漾4-英倫公園,,,第三種住宅區
凱越豐汎,,,第三種住宅區
公園66,,,第三種住宅區
市政官邸3號,,,第三種住宅區
漢皇一寓,,,第三種住宅區
都廳大院,,,第三種住宅區
印象左岸,,,第三種住宅區
市政帝景,,,第三種住宅區
統元極美,,,第三種住宅區
華固織幸,,,第三種住宅區
晴空大地,,,第三種住宅區
圓富ONE,,,第三種住宅區
百達莊園,,,第三種住宅區
地景新世代,,,第三種住宅區
地景富邑,,,第三種住宅區
芳洲PARK,,,第三種住宅區
四季禾禾,,,第三種住宅區
寶鈺,,,第三種住宅區
華固譽誠,,,第三種住宅區
漢皇River Sky,,,第三種住宅區
友座豐禾,,,第三種住宅區
新板東京,,,第三種住宅區
日安PARK,,,第三種住宅區
協和新中興,,,第三種住宅區
新潤世界城,,,第三種住宅區
遠雄信義CENTER,,,第三種住宅區
春城新港灣,,,第三種住宅區
富都康莊,,,第三種住宅區
文心慕慕,,,第三種住宅區
汐科爵鼎,,,第三種住宅區
米蘭敦品-新貴,,,第三種住宅區
欣懋川玥,,,第三種住宅區
荷蘊煦,,,第三種住宅區
