建案名稱,起造人,層棟戶數,使用分區
勝美?上安,,,第三種住宅區
當代首馥,日勝生活科技股份有限公司,1棟/64戶,第二種住宅區
和瑞文華樂章,和瑞開發建設有限公司,2棟/88戶,住宅區
日興-中港御園Ⅱ,日興建設股份有限公司,2棟/76戶,第三種住宅區
RICH ONE紐約館,富旺國際開發股份有限公司,1棟/52戶,商業區
勝美.向上,,,第三種住宅區
佳瓚鹿瓚,,,第三種住宅區
誠居后花園,,,第三種住宅區
坤悅禮御,,,第三種住宅區
永宏向上,,,第三種住宅區
鼎義國美館,,,第三種住宅區
逸築,,,第三種住宅區
森宇樂慕,,,第三種住宅區
惠宇大沁,,,第三種住宅區
兆國琢藝,,,第三種住宅區
佳泰琢閱,,,第三種住宅區
富苑藏豐,,,第三種住宅區
坤聯富豐原匯,,,第三種住宅區
贊騰有悅,,,第三種住宅區
興宸三和,,,第三種住宅區
敘真,,,第三種住宅區
城鈺森川,,,第三種住宅區
櫻花大綻,,,第三種住宅區
坤聯富?上境,,,第三種住宅區
櫻花水美,,,第三種住宅區
翔賀居18期,,,第三種住宅區
巨匠傳承2,,,第三種住宅區
惠宇永益,,,第三種住宅區
國泰蒔萃,,,第三種住宅區
豐邑翫美,,,第三種住宅區
晨朗 吾与森,,,第三種住宅區
亞昕織御,,,第三種住宅區
金林無界,,,第三種住宅區
登鴻富御,,,第三種住宅區
