建案名稱,起造人,層棟戶數,使用分區
三發 DIAMOND ONE,三發地產股份有限公司,1棟/72戶,住宅區
佳順 ? 大悅,,,第三種住宅區
坐忘林,個人,1棟/12戶,農業區
初居3,德昌建設股份有限公司,1棟/30戶,第二種住宅區
日初莊園Ⅲ-春曉,日初建設開發有限公司,1棟/48戶,住宅區
幸福IDO,,,第三種住宅區
臺邦第一景II,,,第三種住宅區
天陽富築,,,第三種住宅區
遠雄山禾,,,第三種住宅區
聯上豐實,,,第三種住宅區
上上富自強,,,第三種住宅區
佳晟家和,,,第三種住宅區
連建安什,,,第三種住宅區
天生贏家７- 是建築,,,第三種住宅區
大麗心恬,,,第三種住宅區
佳鋐科匯,,,第三種住宅區
興華苑,,,第三種住宅區
和紘善美,,,第三種住宅區
梧址境2,,,第三種住宅區
佳展安和,,,第三種住宅區
海富深見,,,第三種住宅區
翡翠長盈NO.5,,,第三種住宅區
宜室感,,,第三種住宅區
太穩森居,,,第三種住宅區
?讀耶魯,,,第三種住宅區
國泰原美,,,第三種住宅區
成大之森,,,第三種住宅區
佳晟家仁,,,第三種住宅區
森樂章,,,第三種住宅區
國城?實,,,第三種住宅區
宏福悅,,,第三種住宅區
永鄰6,,,第三種住宅區
白樓2璞域,,,第三種住宅區
