建案名稱,起造人,層棟戶數,使用分區
金朋馥蓊,甲山林廣告股份有限公司,1棟/48戶,第三種住宅區
鳴森苑,愛山林建設股份有限公司,1棟/32戶,第三種住宅區
崧?,,,第三種住宅區
昇陽芙林,昇陽建設股份有限公司,1棟/56戶,第三種住宅區
圜寬蒔嶼,璞園建築開發有限公司,1棟/24戶,第三種住宅區
國雄中正,,,第三種住宅區
詠綸朔望,,,第三種住宅區
ASTER ONE,,,第三種住宅區
長虹MVP,,,第三種住宅區
鄉林中山賦,,,第三種住宅區
潮中山,,,第三種住宅區
達欣文和苑,,,第三種住宅區
松江.桓?,,,第三種住宅區
毅聯首馥,,,第三種住宅區
天光之埕,,,第三種住宅區
隆雲心琚,,,第三種住宅區
元利四季莊園,,,第三種住宅區
東方大境,,,第三種住宅區
衡?,,,第三種住宅區
首泰大?,,,第三種住宅區
南港國際 SKYPARK,,,第三種住宅區
中研硯,,,第三種住宅區
達麗河?,,,第三種住宅區
家居璽玉,,,第三種住宅區
華固芙心,,,第三種住宅區
家居安曼,,,第三種住宅區
士科大院.,,,第三種住宅區
樺輝詠鑄,,,第三種住宅區
富藝居,,,第三種住宅區
德運安和,,,第三種住宅區
志榮安邸,,,第三種住宅區
