建案名稱,起造人,層棟戶數,使用分區
花語繪,國泰建設股份有限公司,1棟/56戶,第二種住宅區
名築町8,名築建設有限公司,1棟/44戶,第三種住宅區
新亦湛,,,第三種住宅區
璟都璟湛,璟達建設開發股份有限公司,2棟/120戶,第三種住宅區
青淞學5,青松建設股份有限公司,1棟/32戶,第二種住宅區
長耀辰,,,第三種住宅區
英倫花都,,,第三種住宅區
長虹擎山,,,第三種住宅區
秉和芊遇,,,第三種住宅區
連莉.富玉 2,,,第三種住宅區
昭揚天映,,,第三種住宅區
合雄城心ONE,,,第三種住宅區
昕大景,,,第三種住宅區
蒔森,,,第三種住宅區
宗佳致境,,,第三種住宅區
漫旅,,,第三種住宅區
昭揚天漾,,,第三種住宅區
皇普LaVie,,,第三種住宅區
弘昌富澤9,,,第三種住宅區
鵬躍?,,,第三種住宅區
合雄大境,,,第三種住宅區
玖登春樹醴,,,第三種住宅區
藏韻,,,第三種住宅區
益騏豐盛御境,,,第三種住宅區
璟都航空城,,,第三種住宅區
天麒宏竹二期,,,第三種住宅區
上順艾麗,,,第三種住宅區
臻璞,,,第三種住宅區
佳瑞知森,,,第三種住宅區
益欣盛陽,,,第三種住宅區
麗捷園航ONE,,,第三種住宅區
守善富琚,,,第三種住宅區
慶賀天合,,,第三種住宅區
廣昱青澤,,,第三種住宅區
寶台青耘,,,第三種住宅區
太禾良品,,,第三種住宅區
旭晟晟鏡,,,第三種住宅區
百川文玥,,,第三種住宅區
墅也VILLA,,,第三種住宅區
福倉埕藝,,,第三種住宅區
聯懋日日青,,,第三種住宅區
藏月泱,,,第三種住宅區
鴻踞樸藝,,,第三種住宅區
鴻廣川湛,,,第三種住宅區
鑫利川-三城,,,第三種住宅區
大清上景,,,第三種住宅區
柏宣天擎,,,第三種住宅區
宜誠?左岸,,,第三種住宅區
品坤學,,,第三種住宅區
昭揚天朗,,,第三種住宅區
深耕17期,,,第三種住宅區
鼎藏天空樹,,,第三種住宅區
聯懋杉苑,,,第三種住宅區
鼎藏中原匯,,,第三種住宅區
勤樸大道,,,第三種住宅區
聚泰雲藝,,,第三種住宅區
安曼莊園,,,第三種住宅區
璟都中路大苑,,,第三種住宅區
宜雄盛筵,,,第三種住宅區
謙里,,,第三種住宅區
佳陞豐禾,,,第三種住宅區
京懋泰閤,,,第三種住宅區
銘鑄五,,,第三種住宅區
大和仰慕,,,第三種住宅區
中?時代廣場/中??GARDEN,,,第三種住宅區
京澄．大盈,,,第三種住宅區
德友越,,,第三種住宅區
時代之星,,,第三種住宅區
錦華-新世代薪富,,,第三種住宅區
陸昇G9湛,,,第三種住宅區
璟都大鎮-輕璟澤,,,第三種住宅區
齋明居,,,第三種住宅區
宜富居NO.5,,,第三種住宅區
幸福公園9-幸福MRT,,,第三種住宅區
弘達時?,,,第三種住宅區
大清水雲間,,,第三種住宅區
沐光3,,,第三種住宅區
豐中城,,,第三種住宅區
